ONET_SOC_Code,Occupation,Hist_Ref_2013,MAEI_2026_Score,MAEI_Pure_2026,Anchor_Bias,Exposure_Delta,Score_Source,Mapping_Method,SOC_Major_Group,Data_Flag,Score_Std_Dev,Change_Category,Risk_Tier_2026,Risk_Level,Risk_Factor_1,Risk_Factor_2,Risk_Factor_3,Risk_Factor_4,Risk_Factor_5,Protective_Factor_1,Protective_Factor_2,Protective_Factor_3,Protective_Factor_4,Protective_Factor_5,Explanation,OCC_TITLE,TOT_EMP,A_MEDIAN,H_MEDIAN
43-2011.00,"Switchboard Operators, Including Answering Service",96.0,100.0,98.86,1.14,4.35,direct_fo,direct,43,,0.14,Moderate Increase,Very High,HIGH,Low levels of fluency of ideas (value=2.00) [Lack of this exposes role to standard automation],Low levels of originality (value=2.00) [Lack of this exposes role to standard automation],Low levels of instructing (value=2.00) [Lack of this exposes role to standard automation],Low levels of deductive reasoning (value=3.00) [Lack of this exposes role to standard automation],Low levels of active learning (value=2.50) [Lack of this exposes role to standard automation],High reliance on speech recognition (value=4.00) [Provides some protection against standard automation],High reliance on speech clarity (value=4.00) [Provides some protection against standard automation],High reliance on therapy and counseling (value=1.77) [Provides some protection against standard automation],High reliance on social perceptiveness (value=3.50) [Provides some protection against standard automation],Low levels of handling and moving objects (value=1.30) [Lack of this reduces exposure to routine automation],"This occupation has HIGH AI-task overlap (score: 100/100). Risk is driven by a lack of fluency of ideas, making it vulnerable to standard automation. Protection is primarily from speech recognition.","Switchboard Operators, Including Answering Service",43830.0,36750.0,17.67
41-2022.00,Parts Salespersons,98.0,100.0,90.5,9.5,7.44,direct_fo,direct,41,,0.15,Moderate Increase,Very High,HIGH,Low levels of fluency of ideas (value=2.75) [Lack of this exposes role to standard automation],Low levels of deductive reasoning (value=3.00) [Lack of this exposes role to standard automation],Low levels of originality (value=2.75) [Lack of this exposes role to standard automation],Low levels of job zone (value=2.00) [Lack of this exposes role to standard automation],Low levels of systems analysis (value=2.25) [Lack of this exposes role to standard automation],High reliance on persuasion (value=3.75) [Provides some protection against standard automation],High reliance on speech recognition (value=3.75) [Provides some protection against standard automation],High reliance on nlp_topic_sales_systems (value=0.34) [Provides some protection against standard automation],Low levels of routine task indicators (value=0.00) [Lack of this reduces exposure to routine automation],High reliance on social perceptiveness (value=3.38) [Provides some protection against standard automation],"This occupation has HIGH AI-task overlap (score: 100/100). Risk is driven by a lack of fluency of ideas, making it vulnerable to standard automation. Protection is primarily from persuasion. Since 2013, risk has increased by 7.4 points, driven by changes in fluency of ideas.",Parts Salespersons,260770.0,36860.0,17.72
23-2093.00,"Title Examiners, Abstractors, and Searchers",99.0,100.0,95.84,4.16,1.57,direct_fo,direct,23,,0.09,No Change,Very High,HIGH,Low levels of fluency of ideas (value=2.25) [Lack of this exposes role to standard automation],Low levels of originality (value=2.12) [Lack of this exposes role to standard automation],Low levels of instructing (value=2.12) [Lack of this exposes role to standard automation],Low levels of job zone (value=2.00) [Lack of this exposes role to standard automation],Low levels of systems analysis (value=2.25) [Lack of this exposes role to standard automation],High reliance on speech recognition (value=3.50) [Provides some protection against standard automation],High reliance on reading comprehension (value=4.12) [Provides some protection against standard automation],Low levels of extent flexibility (value=1.00) [Lack of this reduces exposure to routine automation],Low levels of physical task indicators (value=0.00) [Lack of this reduces exposure to routine automation],Low levels of realistic (value=2.41) [Lack of this reduces exposure to routine automation],"This occupation has HIGH AI-task overlap (score: 100/100). Risk is driven by a lack of fluency of ideas, making it vulnerable to standard automation. Protection is primarily from speech recognition.","Title Examiners, Abstractors, and Searchers",49760.0,53550.0,25.74
13-2011.00,Accountants and Auditors,94.0,100.0,99.99,0.01,7.52,direct_fo,direct,13,,0.76,Moderate Increase,Very High,HIGH,Low levels of fluency of ideas (value=2.88) [Lack of this exposes role to standard automation],Low levels of originality (value=2.75) [Lack of this exposes role to standard automation],Low levels of public speaking (value=2.00) [Lack of this exposes role to standard automation],"Low levels of determine tasks, priorities and goals (value=4.17) [Lack of this exposes role to standard automation]",Low levels of instructing (value=2.75) [Lack of this exposes role to standard automation],High reliance on job zone (value=4.00) [Provides some protection against standard automation],High reliance on judgment and decision making (value=3.50) [Provides some protection against standard automation],High reliance on creative task indicators (value=4.00) [Provides some protection against standard automation],High reliance on deductive reasoning (value=3.75) [Provides some protection against standard automation],High reliance on coordination (value=3.25) [Provides some protection against standard automation],"This occupation has HIGH AI-task overlap (score: 100/100). Risk is driven by a lack of fluency of ideas, making it vulnerable to standard automation. Protection is primarily from job zone. Since 2013, risk has increased by 7.5 points, driven by changes in fluency of ideas.",Accountants and Auditors,1435770.0,79880.0,38.41
13-2041.00,Credit Analysts,98.0,100.0,82.14,17.86,3.46,direct_fo,direct,13,,0.42,Moderate Increase,Very High,HIGH,Low levels of instructing (value=2.12) [Lack of this exposes role to standard automation],Low levels of originality (value=2.62) [Lack of this exposes role to standard automation],Low levels of fluency of ideas (value=2.88) [Lack of this exposes role to standard automation],Low levels of management of personnel resources (value=2.00) [Lack of this exposes role to standard automation],Low levels of creative task indicators (value=0.00) [Lack of this exposes role to standard automation],High reliance on active learning (value=3.62) [Provides some protection against standard automation],High reliance on job zone (value=4.00) [Provides some protection against standard automation],High reliance on deductive reasoning (value=3.75) [Provides some protection against standard automation],High reliance on task_std_importance (value=0.68) [Provides some protection against standard automation],Low levels of handling and moving objects (value=1.25) [Lack of this reduces exposure to routine automation],"This occupation has HIGH AI-task overlap (score: 100/100). Risk is driven by a lack of instructing, making it vulnerable to standard automation. Protection is primarily from active learning.",Credit Analysts,73200.0,79420.0,38.18
13-2072.00,Loan Officers,98.0,100.0,97.16,2.84,3.16,direct_fo,direct,13,,0.23,Moderate Increase,Very High,HIGH,Low levels of originality (value=2.12) [Lack of this exposes role to standard automation],High reliance on routine task indicators (value=5.00) [AI now handles this well],High reliance on nlp_topic_customer_service_food (value=0.26) [Vulnerable to cognitive/routine automation],Low levels of assisting and caring for others (value=2.08) [Lack of physical/social tasks exposes role to automation],Low levels of creative task indicators (value=1.00) [Lack of this exposes role to standard automation],High reliance on judgment and decision making (value=3.88) [Provides some protection against standard automation],High reliance on job zone (value=4.00) [Provides some protection against standard automation],High reliance on speech recognition (value=3.75) [Provides some protection against standard automation],High reliance on deductive reasoning (value=3.75) [Provides some protection against standard automation],Low levels of handling and moving objects (value=1.51) [Lack of this reduces exposure to routine automation],"This occupation has HIGH AI-task overlap (score: 100/100). Risk is driven by a lack of originality, making it vulnerable to standard automation. Protection is primarily from judgment and decision making.",Loan Officers,321090.0,69990.0,33.65
43-4011.00,Brokerage Clerks,98.0,100.0,84.63,15.37,3.42,direct_fo,direct,43,,0.07,Moderate Increase,Very High,HIGH,Low levels of fluency of ideas (value=2.62) [Lack of this exposes role to standard automation],Low levels of originality (value=2.62) [Lack of this exposes role to standard automation],Low levels of instructing (value=2.50) [Lack of this exposes role to standard automation],Low levels of deductive reasoning (value=3.25) [Lack of this exposes role to standard automation],High reliance on nlp_topic_customer_service_food (value=0.39) [Vulnerable to cognitive/routine automation],High reliance on time management (value=3.50) [Provides some protection against standard automation],High reliance on speech recognition (value=3.62) [Provides some protection against standard automation],Low levels of handling and moving objects (value=1.41) [Lack of this reduces exposure to routine automation],High reliance on systems analysis (value=2.88) [Provides some protection against standard automation],Low levels of performing general physical activities (value=1.55) [Lack of this reduces exposure to routine automation],"This occupation has HIGH AI-task overlap (score: 100/100). Risk is driven by a lack of fluency of ideas, making it vulnerable to standard automation. Protection is primarily from time management.",Brokerage Clerks,48060.0,60150.0,28.92
13-2082.00,Tax Preparers,99.0,100.0,100.0,0.0,3.46,direct_fo,direct,13,,0.0,Moderate Increase,Very High,HIGH,Low levels of originality (value=2.62) [Lack of this exposes role to standard automation],Low levels of speech recognition (value=3.00) [Lack of this exposes role to standard automation],Low levels of instructing (value=2.75) [Lack of this exposes role to standard automation],Low levels of systems analysis (value=2.38) [Lack of this exposes role to standard automation],Low levels of management of personnel resources (value=2.00) [Lack of this exposes role to standard automation],High reliance on deductive reasoning (value=3.75) [Provides some protection against standard automation],Low levels of handling and moving objects (value=1.62) [Lack of this reduces exposure to routine automation],Low levels of performing general physical activities (value=1.43) [Lack of this reduces exposure to routine automation],Low levels of extent flexibility (value=1.00) [Lack of this reduces exposure to routine automation],Low levels of physical task indicators (value=0.00) [Lack of this reduces exposure to routine automation],"This occupation has HIGH AI-task overlap (score: 100/100). Risk is driven by a lack of originality, making it vulnerable to standard automation. Protection is primarily from deductive reasoning.",Tax Preparers,81650.0,49010.0,23.56
43-3021.00,Billing and Posting Clerks,96.0,100.0,100.0,0.0,9.63,direct_fo,direct,43,,0.22,Moderate Increase,Very High,HIGH,Low levels of fluency of ideas (value=2.12) [Lack of this exposes role to standard automation],Low levels of originality (value=2.00) [Lack of this exposes role to standard automation],Low levels of instructing (value=2.12) [Lack of this exposes role to standard automation],Low levels of deductive reasoning (value=3.12) [Lack of this exposes role to standard automation],Low levels of systems analysis (value=2.25) [Lack of this exposes role to standard automation],Low levels of performing general physical activities (value=1.60) [Lack of this reduces exposure to routine automation],Low levels of extent flexibility (value=1.00) [Lack of this reduces exposure to routine automation],Low levels of handling and moving objects (value=2.11) [Lack of this reduces exposure to routine automation],Low levels of finger dexterity (value=1.88) [Lack of this reduces exposure to routine automation],High reliance on time management (value=3.12) [Provides some protection against standard automation],"This occupation has HIGH AI-task overlap (score: 100/100). Risk is driven by a lack of fluency of ideas, making it vulnerable to standard automation. Protection is primarily from a lack of performing general physical activities. Since 2013, risk has increased by 9.6 points, driven by changes in fluency of ideas.",Billing and Posting Clerks,430220.0,45590.0,21.92
43-3071.00,Tellers,98.0,100.0,95.71,4.29,4.86,direct_fo,direct,43,,0.04,Moderate Increase,Very High,HIGH,Low levels of originality (value=2.25) [Lack of this exposes role to standard automation],Low levels of fluency of ideas (value=2.88) [Lack of this exposes role to standard automation],Low levels of deductive reasoning (value=3.12) [Lack of this exposes role to standard automation],Low levels of systems analysis (value=2.12) [Lack of this exposes role to standard automation],Low levels of job zone (value=2.00) [Lack of this exposes role to standard automation],High reliance on speech recognition (value=3.88) [Provides some protection against standard automation],High reliance on nlp_topic_sales_systems (value=0.19) [Provides some protection against standard automation],High reliance on creative task indicators (value=3.00) [Provides some protection against standard automation],High reliance on assisting and caring for others (value=3.32) [Requires distinctly human physical/social presence],High reliance on speech clarity (value=3.75) [Provides some protection against standard automation],"This occupation has HIGH AI-task overlap (score: 100/100). Risk is driven by a lack of originality, making it vulnerable to standard automation. Protection is primarily from speech recognition.",Tellers,340820.0,37640.0,18.1
43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",98.0,100.0,100.0,0.0,3.36,direct_fo,direct,43,,0.0,Moderate Increase,Very High,HIGH,Low levels of fluency of ideas (value=2.12) [Lack of this exposes role to standard automation],Low levels of originality (value=1.88) [Lack of this exposes role to standard automation],Low levels of instructing (value=2.12) [Lack of this exposes role to standard automation],Low levels of deductive reasoning (value=3.00) [Lack of this exposes role to standard automation],Low levels of systems analysis (value=2.12) [Lack of this exposes role to standard automation],High reliance on creative task indicators (value=3.00) [Provides some protection against standard automation],Low levels of handling and moving objects (value=1.79) [Lack of this reduces exposure to routine automation],Low levels of realistic (value=1.65) [Lack of this reduces exposure to routine automation],Low levels of extent flexibility (value=1.00) [Lack of this reduces exposure to routine automation],Low levels of performing general physical activities (value=1.65) [Lack of this reduces exposure to routine automation],"This occupation has HIGH AI-task overlap (score: 100/100). Risk is driven by a lack of fluency of ideas, making it vulnerable to standard automation. Protection is primarily from creative task indicators.","Bookkeeping, Accounting, and Auditing Clerks",1501910.0,47440.0,22.81
43-3061.00,Procurement Clerks,98.0,100.0,90.18,9.82,7.6,direct_fo,direct,43,,0.87,Moderate Increase,Very High,HIGH,Low levels of originality (value=2.38) [Lack of this exposes role to standard automation],Low levels of fluency of ideas (value=2.88) [Lack of this exposes role to standard automation],Low levels of instructing (value=2.50) [Lack of this exposes role to standard automation],Low levels of job zone (value=2.00) [Lack of this exposes role to standard automation],Low levels of systems analysis (value=2.25) [Lack of this exposes role to standard automation],High reliance on judgment and decision making (value=3.50) [Provides some protection against standard automation],High reliance on social perceptiveness (value=3.62) [Provides some protection against standard automation],High reliance on active learning (value=3.25) [Provides some protection against standard automation],High reliance on therapy and counseling (value=1.66) [Provides some protection against standard automation],Low levels of finger dexterity (value=1.62) [Lack of this reduces exposure to routine automation],"This occupation has HIGH AI-task overlap (score: 100/100). Risk is driven by a lack of originality, making it vulnerable to standard automation. Protection is primarily from judgment and decision making. Since 2013, risk has increased by 7.6 points, driven by changes in originality.",Procurement Clerks,61580.0,46670.0,22.44
41-9041.00,Telemarketers,99.0,100.0,100.0,0.0,2.53,direct_fo,direct,41,,1.11,No Change,Very High,HIGH,Low levels of fluency of ideas (value=2.25) [Lack of this exposes role to standard automation],Low levels of originality (value=2.25) [Lack of this exposes role to standard automation],Low levels of instructing (value=2.25) [Lack of this exposes role to standard automation],Low levels of deductive reasoning (value=2.75) [Lack of this exposes role to standard automation],Low levels of active learning (value=2.00) [Lack of this exposes role to standard automation],High reliance on persuasion (value=4.12) [Provides some protection against standard automation],High reliance on nlp_topic_sales_systems (value=0.43) [Provides some protection against standard automation],High reliance on social task indicators (normalized) (value=16.39) [Provides some protection against standard automation],High reliance on speech recognition (value=3.62) [Provides some protection against standard automation],High reliance on assisting and caring for others (value=3.70) [Requires distinctly human physical/social presence],"This occupation has HIGH AI-task overlap (score: 100/100). Risk is driven by a lack of fluency of ideas, making it vulnerable to standard automation. Protection is primarily from persuasion.",Telemarketers,81580.0,34480.0,16.58
53-6041.00,Traffic Technicians,90.0,99.96,59.96,40.0,9.96,direct_fo,direct,53,,0.17,Moderate Increase,Very High,HIGH,Low levels of deductive reasoning (value=3.38) [Lack of this exposes role to standard automation],Low levels of assisting and caring for others (value=1.89) [Lack of physical/social tasks exposes role to automation],High reliance on routine task indicators (value=4.00) [AI now handles this well],Low levels of active learning (value=3.00) [Lack of this exposes role to standard automation],Low levels of therapy and counseling (value=1.29) [Lack of this exposes role to standard automation],High reliance on originality (value=3.00) [Provides some protection against standard automation],High reliance on systems analysis (value=3.00) [Provides some protection against standard automation],High reliance on management of personnel resources (value=3.00) [Provides some protection against standard automation],Low levels of nlp_topic_customer_service_food (value=-0.16) [Lack of this reduces exposure to routine automation],High reliance on judgment and decision making (value=3.25) [Provides some protection against standard automation],"This occupation has HIGH AI-task overlap (score: 100/100). Risk is driven by a lack of deductive reasoning, making it vulnerable to standard automation. Protection is primarily from originality. Since 2013, risk has increased by 10.0 points, driven by changes in deductive reasoning.",Traffic Technicians,7530.0,52240.0,25.12
51-5111.00,Prepress Technicians and Workers,97.0,99.82,95.74,4.08,2.82,direct_fo,direct,51,,0.3,No Change,Very High,HIGH,Low levels of fluency of ideas (value=2.62) [Lack of this exposes role to standard automation],Low levels of originality (value=2.62) [Lack of this exposes role to standard automation],Low levels of deductive reasoning (value=3.00) [Lack of this exposes role to standard automation],Low levels of speech recognition (value=3.00) [Lack of this exposes role to standard automation],Low levels of instructing (value=2.75) [Lack of this exposes role to standard automation],High reliance on creative task indicators (normalized) (value=13.82) [Provides some protection against standard automation],High reliance on thinking creatively (value=3.98) [Provides some protection against standard automation],High reliance on creative task indicators (value=3.00) [Provides some protection against standard automation],High reliance on fine arts (value=2.06) [Provides some protection against standard automation],High reliance on computers and electronics (value=4.00) [Provides some protection against standard automation],"This occupation has HIGH AI-task overlap (score: 100/100). Risk is driven by a lack of fluency of ideas, making it vulnerable to standard automation. Protection is primarily from creative task indicators (normalized).",Prepress Technicians and Workers,23590.0,45070.0,21.67
13-1032.00,"Insurance Appraisers, Auto Damage",98.0,99.6,98.53,1.07,1.6,direct_fo,direct,13,,0.62,No Change,Very High,HIGH,Low levels of fluency of ideas (value=2.38) [Lack of this exposes role to standard automation],Low levels of originality (value=2.38) [Lack of this exposes role to standard automation],Low levels of instructing (value=2.25) [Lack of this exposes role to standard automation],Low levels of deductive reasoning (value=3.25) [Lack of this exposes role to standard automation],Low levels of learning strategies (value=2.12) [Lack of this exposes role to standard automation],High reliance on nlp_topic_sales_systems (value=0.20) [Provides some protection against standard automation],High reliance on time management (value=3.25) [Provides some protection against standard automation],High reliance on assisting and caring for others (value=3.35) [Requires distinctly human physical/social presence],High reliance on speech recognition (value=3.50) [Provides some protection against standard automation],Low levels of handling and moving objects (value=1.67) [Lack of this reduces exposure to routine automation],"This occupation has HIGH AI-task overlap (score: 100/100). Risk is driven by a lack of fluency of ideas, making it vulnerable to standard automation. Protection is primarily from nlp_topic_sales_systems.","Insurance Appraisers, Auto Damage",8670.0,74520.0,35.83
